Sample_ID,Batch_Code,Product_Name,Test_Date,Moisture_Content_%,Fat_Content_%,Protein_Content_%,Water_Activity_Aw,Acid_Insoluble_Ash_%,Acid_Value_mgKOHg,Peroxide_Value,Total_Plate_Count_CFUg,Yeast_Mold_Count_CFUg,Lead_Pb_mgkg,Cadmium_Cd_mgkg,Failure_Category,Historical_Status
SPL-2026-0908,B-250329-8,Marie Biscuit,2025-03-29,3.21,17.37,9.4,0.531,0.002,1.74,1.54,4041,264,0.031,0.027,None,Pass
SPL-2026-0487,B-250329-2,Sandwich Biscuit,2025-03-29,2.85,22.58,8.72,,0.008,,1.29,88,317,0.132,0.206,Heavy_Metal,Fail
SPL-2026-0556,B-250329-1,Cracker Plain,2025-03-29,3.76,17.6,5.83,0.571,0.012,1.81,1.69,17723,376,0.007,0.046,None,Pass
SPL-2026-0076,B-250330-4,Cracker Plain,2025-03-30,2.64,,7.09,,,0.31,1.68,387,1215,0.465,0.019,None,Pass
SPL-2026-0936,B-250330-2,Wafer Vanilla,2025-03-30,2.44,18.88,7.49,0.488,0.048,1.32,0.96,1837,359,0.546,0.092,Heavy_Metal,Fail
SPL-2026-0941,B-250330-6,Cracker Filled,2025-03-30,3.15,17.83,6.0,0.546,0.039,1.85,1.92,549,164,0.008,0.039,None,Pass
SPL-2026-0850,B-250331-3,Cracker Filled,2025-03-31,3.86,9.68,7.64,0.584,,0.45,0.21,27678,1559,0.143,0.018,None,Pass
SPL-2026-0596,B-250331-2,Cookies Choco Chip,2025-03-31,,19.32,6.47,0.592,0.151,2.45,1.65,11935,9106,0.265,0.011,Stability,Fail
SPL-2026-0078,B-250331-4,Marie Biscuit,2025-03-31,1.91,16.83,6.98,0.373,0.018,0.86,0.46,1663,191,0.096,0.06,None,Pass
SPL-2026-0637,B-250331-3,Marie Biscuit,2025-03-31,4.47,19.93,8.22,0.692,0.021,0.99,0.81,17135,5717,0.068,0.064,None,Pass
SPL-2026-0193,B-250402-3,Cracker Filled,2025-04-02,4.14,20.99,7.18,0.661,0.041,0.43,0.63,1713,1242,0.114,0.001,None,Pass
SPL-2026-0433,B-250403-2,Cookies Choco Chip,2025-04-03,2.46,9.81,4.74,,0.034,1.44,1.05,5909,272,0.104,0.164,None,Pass
SPL-2026-0616,B-250404-6,Cracker Filled,2025-04-04,2.31,15.11,6.56,0.433,0.038,1.3,1.16,665,52,0.438,0.046,None,Pass
SPL-2026-0032,B-250404-2,Marie Biscuit,2025-04-04,3.58,14.66,5.05,0.551,0.001,,0.18,6037,593,0.047,0.038,None,Pass
SPL-2026-0405,B-250406-4,Cracker Plain,2025-04-06,3.89,11.99,5.11,0.568,0.021,1.2,1.11,4602,467,0.014,0.064,None,Pass
SPL-2026-0174,B-250406-7,Cookies Choco Chip,2025-04-06,3.58,17.55,4.62,0.573,0.233,1.04,1.36,1244,171,0.133,0.01,Physicochemical,Fail
SPL-2026-0702,B-250407-7,Cracker Filled,2025-04-07,2.66,13.35,4.13,0.505,0.015,0.72,0.43,712,658,0.046,0.052,Physicochemical,Fail
SPL-2026-0883,B-250407-5,Cracker Plain,2025-04-07,1.55,,6.69,0.44,0.146,1.03,0.81,3039,411,0.018,0.194,Physicochemical,Fail
SPL-2026-0886,B-250407-2,Cookies Choco Chip,2025-04-07,2.63,19.25,5.43,0.48,0.003,1.72,0.87,130,286,0.014,0.056,None,Pass
SPL-2026-0106,B-250408-3,Cookies Choco Chip,2025-04-08,2.97,23.87,6.69,0.489,0.004,1.7,1.19,1917,443,0.117,0.072,None,Pass
SPL-2026-0929,B-250409-2,Sandwich Biscuit,2025-04-09,4.72,12.3,5.01,0.629,0.022,0.89,1.4,3322,144,0.161,0.021,None,Pass
SPL-2026-0639,B-250409-2,Cookies Choco Chip,2025-04-09,1.79,19.53,,0.472,0.053,1.22,1.76,522,684,,0.096,None,Pass
SPL-2026-0432,B-250410-5,Cookies Choco Chip,2025-04-10,2.82,13.05,4.15,0.516,0.034,0.19,0.38,690,999,0.188,0.001,Physicochemical,Fail
SPL-2026-0798,B-250411-5,Cracker Plain,2025-04-11,3.85,21.91,4.51,0.646,0.008,1.8,1.55,13232,4784,0.247,0.008,None,Pass
SPL-2026-0345,B-250411-5,Wafer Vanilla,2025-04-11,3.69,21.44,5.76,0.557,0.05,0.79,,9520,168,0.168,0.065,None,Pass
SPL-2026-0663,B-250411-2,Butter Biscuit,2025-04-11,2.79,14.5,5.98,0.522,0.003,1.16,0.82,354,601,0.526,0.023,Heavy_Metal,Fail
SPL-2026-0891,B-250411-2,Butter Biscuit,2025-04-11,4.25,17.3,5.6,0.635,0.024,0.94,0.84,614,1147,0.086,0.024,None,Pass
SPL-2026-0960,B-250412-4,Sandwich Biscuit,2025-04-12,1.27,22.75,4.56,0.401,0.028,1.17,1.2,4227,68,0.512,0.046,Heavy_Metal,Fail
SPL-2026-0534,B-250412-2,Marie Biscuit,2025-04-12,4.57,15.58,5.42,0.733,0.03,1.36,1.01,4017,4927,0.073,0.032,None,Pass
SPL-2026-0326,B-250412-7,Marie Biscuit,2025-04-12,4.81,13.75,4.01,0.686,0.014,0.05,0.35,22576,2091,0.236,0.099,Physicochemical,Fail
SPL-2026-0651,B-250413-8,Cracker Plain,2025-04-13,3.99,19.96,6.2,0.616,0.033,1.56,,3814,638,0.194,0.063,None,Pass
SPL-2026-0523,B-250414-2,Marie Biscuit,2025-04-14,3.63,16.75,3.76,0.571,0.055,0.32,0.29,21775,594,,0.045,Physicochemical,Fail
SPL-2026-0113,B-250414-8,Cracker Plain,2025-04-14,3.94,19.27,7.0,0.649,0.031,0.38,0.79,1491,141,0.334,0.042,None,Pass
SPL-2026-0178,B-250414-4,Marie Biscuit,2025-04-14,4.57,22.68,4.83,0.655,0.012,1.46,1.13,12907,1960,0.052,0.04,None,Pass
SPL-2026-0115,B-250415-6,Cracker Plain,2025-04-15,2.15,15.87,8.17,0.441,0.008,0.94,0.89,826,1714,0.134,0.038,None,Pass
SPL-2026-0770,B-250417-8,Sandwich Biscuit,2025-04-17,3.88,21.17,6.0,0.555,0.036,0.85,1.07,1705,237,0.138,0.019,None,Pass
SPL-2026-0704,B-250418-7,Marie Biscuit,2025-04-18,4.23,13.29,6.78,0.651,0.015,0.96,,9772,260,0.033,0.003,None,Pass
SPL-2026-0787,B-250418-3,Butter Biscuit,2025-04-18,2.02,18.75,11.69,0.406,0.138,1.24,0.75,534,533,0.085,0.032,Physicochemical,Fail
SPL-2026-0085,B-250419-2,Cracker Filled,2025-04-19,4.96,17.07,7.4,0.695,0.131,0.97,1.54,7254,1360,0.012,0.087,Physicochemical,Fail
SPL-2026-0364,B-250420-1,Wafer Vanilla,2025-04-20,4.24,17.26,5.56,0.601,0.03,1.14,,8857,1008,0.02,0.052,None,Pass
SPL-2026-0796,B-250420-8,Sandwich Biscuit,2025-04-20,2.42,21.43,4.49,0.478,0.012,1.96,,4214,472,0.183,0.125,Physicochemical,Fail
SPL-2026-0740,B-250421-3,Wafer Vanilla,2025-04-21,2.79,,6.15,0.488,0.025,1.48,1.41,1131,509,0.226,0.1,None,Pass
SPL-2026-0872,B-250422-8,Marie Biscuit,2025-04-22,2.05,13.83,7.14,0.433,0.02,0.76,,1790,945,0.328,0.12,None,Pass
SPL-2026-0474,B-250422-2,Cracker Plain,2025-04-22,4.89,21.85,,0.722,0.022,1.83,,6218,1539,0.252,0.015,None,Pass
SPL-2026-0940,B-250423-2,Cracker Plain,2025-04-23,4.19,13.57,8.4,0.612,0.015,1.06,0.87,1150,798,0.369,0.047,None,Pass
SPL-2026-0072,B-250423-6,Marie Biscuit,2025-04-23,3.91,17.35,6.96,0.618,0.021,1.63,0.85,1016,1292,0.128,0.068,None,Pass
SPL-2026-0745,B-250424-2,Cookies Choco Chip,2025-04-24,4.68,22.86,3.86,0.684,0.095,0.6,0.64,1661,683,0.107,0.343,Heavy_Metal,Fail
SPL-2026-0989,B-250424-8,Marie Biscuit,2025-04-24,,22.9,8.57,0.627,0.044,1.05,1.74,3887,1304,0.001,0.02,None,Pass
SPL-2026-0710,B-250425-7,Cracker Plain,2025-04-25,2.98,19.76,10.07,0.483,0.01,0.94,0.72,1102,311,0.246,0.038,None,Pass
SPL-2026-0988,B-250425-7,Sandwich Biscuit,2025-04-25,3.14,18.07,6.45,0.562,,1.62,0.91,11182,264,0.01,0.057,None,Pass
SPL-2026-0395,B-250427-4,Cookies Choco Chip,2025-04-27,4.08,18.32,6.12,,0.045,1.01,0.75,7198,1024,0.131,0.073,None,Pass
SPL-2026-0582,B-250427-4,Cookies Choco Chip,2025-04-27,,17.47,5.18,0.63,0.013,0.05,0.69,36614,1012,0.194,0.009,None,Pass
SPL-2026-0355,B-250429-3,Wafer Vanilla,2025-04-29,3.77,22.02,6.78,0.59,0.003,1.06,0.08,16585,1117,0.134,0.031,None,Pass
SPL-2026-0257,B-250430-7,Cracker Filled,2025-04-30,3.02,,7.89,0.525,0.02,1.16,1.49,145,272,0.121,0.014,None,Pass
SPL-2026-0839,B-250501-2,Butter Biscuit,2025-05-01,3.09,23.87,7.49,0.515,,1.1,0.9,872,2089,0.291,0.005,None,Pass
SPL-2026-0503,B-250504-7,Wafer Vanilla,2025-05-04,3.33,19.81,6.91,0.559,0.035,1.27,0.78,11577,547,0.648,0.063,Heavy_Metal,Fail
SPL-2026-0512,B-250504-7,Cookies Choco Chip,2025-05-04,3.29,18.77,4.24,0.545,0.013,0.36,0.53,23848,444,0.046,0.094,Physicochemical,Fail
SPL-2026-0479,B-250505-1,Cracker Filled,2025-05-05,2.92,18.24,7.62,0.501,0.007,0.95,1.24,7915,766,0.116,0.022,None,Pass
SPL-2026-0545,B-250505-7,Cookies Choco Chip,2025-05-05,2.2,23.0,6.88,0.44,,1.44,0.61,5202,323,0.003,0.106,None,Pass
SPL-2026-0656,B-250505-5,Cracker Plain,2025-05-05,3.34,15.87,7.44,0.573,0.008,1.09,1.24,1050,785,0.053,0.024,None,Pass
SPL-2026-0877,B-250506-6,Cracker Plain,2025-05-06,6.37,18.53,7.77,0.816,0.013,0.44,0.63,8179,643,0.066,0.037,Physicochemical,Fail
SPL-2026-0112,B-250506-6,Cookies Choco Chip,2025-05-06,3.38,20.75,9.13,0.573,0.024,1.85,1.31,6506,1457,0.016,0.016,None,Pass
SPL-2026-0817,B-250507-6,Butter Biscuit,2025-05-07,2.32,20.68,6.7,0.488,0.125,0.89,0.82,18375,208,0.122,0.021,Physicochemical,Fail
SPL-2026-0291,B-250507-4,Cookies Choco Chip,2025-05-07,2.83,17.01,7.89,0.516,0.026,0.91,1.01,3948,242,0.344,0.039,None,Pass
SPL-2026-0386,B-250507-8,Butter Biscuit,2025-05-07,1.56,9.83,7.89,0.359,0.005,0.75,1.05,1195,284,0.089,0.081,None,Pass
SPL-2026-0288,B-250507-7,Cracker Filled,2025-05-07,3.91,21.15,4.53,0.588,0.082,1.02,0.56,3489,301,0.172,0.038,None,Pass
SPL-2026-0609,B-250508-5,Wafer Vanilla,2025-05-08,,17.67,5.42,0.684,0.003,1.22,1.62,3130,776,0.018,,Heavy_Metal,Fail
SPL-2026-0308,B-250509-2,Cracker Plain,2025-05-09,4.44,19.56,8.2,0.702,0.082,1.99,1.68,11258,208,0.252,0.142,None,Pass
SPL-2026-0265,B-250509-1,Wafer Vanilla,2025-05-09,4.73,17.65,6.9,0.658,0.053,0.05,1.0,869,7877,0.003,0.017,None,Pass
SPL-2026-0047,B-250510-4,Cracker Plain,2025-05-10,1.49,17.37,7.7,0.43,0.023,1.05,0.75,1418,323,0.024,0.079,None,Pass
SPL-2026-0506,B-250511-1,Cracker Plain,2025-05-11,4.09,15.19,6.7,0.57,0.013,1.77,1.4,2795,88,0.167,0.037,None,Pass
SPL-2026-0542,B-250511-8,Butter Biscuit,2025-05-11,2.93,21.13,6.02,0.535,0.008,0.64,1.21,1777,492,0.026,0.079,None,Pass
SPL-2026-0251,B-250511-5,Marie Biscuit,2025-05-11,3.02,19.65,7.18,0.52,0.024,0.79,1.24,718,548,0.066,0.001,None,Pass
SPL-2026-0402,B-250511-5,Cookies Choco Chip,2025-05-11,2.52,20.5,7.45,0.495,0.021,1.88,1.17,1097,2723,0.062,0.019,None,Pass
SPL-2026-0107,B-250512-7,Cookies Choco Chip,2025-05-12,2.44,20.51,2.5,0.475,0.006,0.47,0.77,3201,145,0.309,0.046,Physicochemical,Fail
SPL-2026-0709,B-250512-6,Cracker Plain,2025-05-12,2.86,17.67,,0.48,0.052,1.98,1.44,2396,843,0.102,0.035,None,Pass
SPL-2026-0124,B-250512-5,Cracker Plain,2025-05-12,2.9,17.78,8.56,0.521,0.003,0.92,,1660,122,0.078,0.071,None,Pass
SPL-2026-0786,B-250512-1,Cracker Filled,2025-05-12,2.98,17.91,6.72,0.528,0.107,0.28,0.64,9920,359,0.299,0.164,Physicochemical,Fail
SPL-2026-0892,B-250513-5,Cracker Filled,2025-05-13,4.22,13.98,6.97,0.643,0.057,0.05,0.72,3105,1927,0.225,0.013,None,Pass
SPL-2026-0811,B-250513-5,Butter Biscuit,2025-05-13,4.02,13.55,7.9,0.644,0.068,,1.36,3372,89,0.085,0.061,None,Pass
SPL-2026-0454,B-250513-4,Butter Biscuit,2025-05-13,0.68,13.38,4.76,0.244,0.019,0.06,0.05,228,89,0.149,0.038,None,Pass
SPL-2026-0013,B-250513-2,Cookies Choco Chip,2025-05-13,3.59,21.83,9.36,0.583,0.016,0.49,0.47,3369,205,0.189,0.082,None,Pass
SPL-2026-0906,B-250513-7,Cracker Filled,2025-05-13,5.08,,9.69,0.669,0.014,0.79,0.68,32548,886,0.21,0.035,Physicochemical,Fail
SPL-2026-0515,B-250514-1,Wafer Vanilla,2025-05-14,2.26,15.66,5.79,0.457,0.007,0.05,,1963,105,0.134,0.021,None,Pass
SPL-2026-0563,B-250515-6,Cracker Plain,2025-05-15,3.73,13.25,5.86,0.598,0.01,1.37,1.05,3264,628,0.3,0.15,None,Pass
SPL-2026-0904,B-250515-5,Wafer Vanilla,2025-05-15,4.08,15.91,5.98,0.589,0.001,0.96,1.06,9671,1744,0.012,0.083,None,Pass
SPL-2026-0413,B-250516-8,Marie Biscuit,2025-05-16,2.98,16.28,4.34,0.486,0.083,0.91,0.75,829,571,0.224,0.01,Physicochemical,Fail
SPL-2026-0660,B-250517-2,Sandwich Biscuit,2025-05-17,4.37,15.43,7.55,0.606,0.002,1.31,1.27,632,464,0.022,0.256,Heavy_Metal,Fail
SPL-2026-0852,B-250517-4,Cookies Choco Chip,2025-05-17,3.88,18.13,4.85,0.619,0.083,1.01,1.33,8799,343,0.038,0.022,None,Pass
SPL-2026-0942,B-250517-8,Sandwich Biscuit,2025-05-17,4.58,16.37,7.67,0.687,0.01,,0.36,19323,175,0.134,0.147,None,Pass
SPL-2026-0818,B-250517-7,Butter Biscuit,2025-05-17,5.49,17.16,5.75,0.68,0.026,0.58,1.0,715,3058,0.059,0.081,Physicochemical,Fail
SPL-2026-0307,B-250518-3,Sandwich Biscuit,2025-05-18,2.38,21.24,4.92,0.41,0.022,1.01,0.5,225,1361,0.113,0.112,None,Pass
SPL-2026-0562,B-250518-3,Butter Biscuit,2025-05-18,2.81,19.27,8.25,,0.045,0.68,1.07,14539,3801,0.279,0.265,Heavy_Metal,Fail
SPL-2026-0425,B-250519-3,Sandwich Biscuit,2025-05-19,1.59,15.36,7.21,0.393,0.005,1.06,,953,958,0.067,0.24,Heavy_Metal,Fail
SPL-2026-0179,B-250520-6,Wafer Vanilla,2025-05-20,3.61,18.83,,0.595,0.03,1.39,1.32,1950,486,0.032,0.031,None,Pass
SPL-2026-0804,B-250521-1,Wafer Vanilla,2025-05-21,3.41,21.04,7.35,0.605,0.144,1.34,1.21,9101,285,0.048,0.002,Physicochemical,Fail
SPL-2026-0502,B-250521-1,Cracker Filled,2025-05-21,,22.69,7.5,0.516,0.054,0.93,1.67,7269,201,0.325,0.001,None,Pass
SPL-2026-0882,B-250523-2,Cookies Choco Chip,2025-05-23,3.41,21.93,6.82,0.58,,0.93,0.53,6571,894,0.108,0.147,None,Pass
SPL-2026-0297,B-250523-2,Cookies Choco Chip,2025-05-23,5.31,17.3,6.77,,0.004,0.33,0.68,17600,1358,0.068,0.266,Heavy_Metal,Fail
SPL-2026-0459,B-250523-4,Cookies Choco Chip,2025-05-23,3.28,18.77,6.95,0.515,0.014,0.29,1.37,722,266,0.169,0.049,None,Pass
SPL-2026-0261,B-250524-1,Cookies Choco Chip,2025-05-24,,18.16,2.5,0.674,0.028,1.62,1.43,48911,5348,0.248,0.008,Physicochemical,Fail
SPL-2026-0621,B-250524-7,Cracker Plain,2025-05-24,4.01,21.88,4.93,0.597,0.009,1.61,1.02,1602,1235,0.04,0.121,None,Pass
SPL-2026-0701,B-250524-8,Cracker Plain,2025-05-24,3.08,13.34,6.41,0.526,0.01,1.08,1.6,317,161,0.133,0.129,None,Pass
SPL-2026-0429,B-250525-7,Butter Biscuit,2025-05-25,2.04,17.08,6.23,0.422,0.001,1.54,1.54,404,4547,0.023,0.086,None,Pass
SPL-2026-0673,B-250525-7,Cracker Filled,2025-05-25,3.22,19.22,6.52,0.542,0.089,0.78,0.53,398,552,0.032,0.076,None,Pass
SPL-2026-0123,B-250526-5,Cracker Filled,2025-05-26,4.15,18.27,,0.621,0.102,1.23,0.51,5361,223,0.146,0.078,Physicochemical,Fail
SPL-2026-0011,B-250526-4,Cracker Plain,2025-05-26,3.71,12.59,6.98,0.57,0.099,1.08,1.18,793,1146,0.039,0.076,None,Pass
SPL-2026-0640,B-250528-7,Wafer Vanilla,2025-05-28,5.14,17.23,4.86,0.731,,1.67,1.84,2388,920,0.016,0.007,Physicochemical,Fail
SPL-2026-0322,B-250529-1,Butter Biscuit,2025-05-29,3.7,11.52,8.46,0.563,0.021,0.3,0.52,541,1613,0.366,0.019,None,Pass
SPL-2026-0491,B-250529-3,Wafer Vanilla,2025-05-29,3.66,15.46,8.31,0.544,0.016,1.99,2.17,17247,240,0.087,0.103,None,Pass
SPL-2026-0192,B-250531-4,Cracker Filled,2025-05-31,4.87,18.9,,0.632,0.122,0.55,0.72,4026,586,0.003,0.069,Physicochemical,Fail
SPL-2026-0794,B-250531-5,Cookies Choco Chip,2025-05-31,1.22,11.57,,0.389,0.082,0.99,0.92,118,93,0.2,0.019,None,Pass
SPL-2026-0551,B-250601-6,Cookies Choco Chip,2025-06-01,2.34,19.27,7.75,0.531,0.039,0.68,0.21,6332,946,0.247,0.058,None,Pass
SPL-2026-0999,B-250601-4,Wafer Vanilla,2025-06-01,1.76,15.98,7.5,0.401,0.078,0.95,1.11,703,288,0.068,0.006,None,Pass
SPL-2026-0028,B-250601-8,Cookies Choco Chip,2025-06-01,,18.93,4.82,0.476,0.016,0.59,0.68,1117,727,0.172,0.007,None,Pass
SPL-2026-1000,B-250601-6,Cracker Plain,2025-06-01,1.68,18.74,7.94,,0.018,1.2,0.93,916,775,0.073,0.049,None,Pass
SPL-2026-0917,B-250602-5,Cracker Plain,2025-06-02,4.1,12.7,6.48,0.638,0.048,,0.27,4864,119,,0.124,None,Pass
SPL-2026-0410,B-250602-1,Butter Biscuit,2025-06-02,3.84,19.97,6.65,0.612,0.013,0.96,1.35,1089,10246,0.186,0.044,Microbiological,Fail
SPL-2026-0382,B-250603-4,Wafer Vanilla,2025-06-03,3.61,17.69,4.9,0.608,0.002,1.41,1.18,8196,846,0.06,0.013,None,Pass
SPL-2026-0209,B-250603-2,Marie Biscuit,2025-06-03,3.88,11.93,9.46,0.599,,0.44,1.41,3239,185,0.161,0.021,None,Pass
SPL-2026-0230,B-250605-8,Marie Biscuit,2025-06-05,4.47,22.73,5.55,0.595,0.029,0.91,1.03,11083,1727,0.088,0.117,None,Pass
SPL-2026-0993,B-250605-2,Marie Biscuit,2025-06-05,4.14,13.3,9.31,0.681,0.048,0.1,0.64,1093,574,0.014,0.005,None,Pass
SPL-2026-0483,B-250606-2,Marie Biscuit,2025-06-06,2.37,15.07,6.08,,0.177,1.17,1.17,1520,472,0.322,0.025,Physicochemical,Fail
SPL-2026-0114,B-250607-8,Cracker Plain,2025-06-07,3.59,17.75,7.2,0.578,,0.75,0.84,781,288,0.016,0.001,None,Pass
SPL-2026-0561,B-250607-5,Cracker Plain,2025-06-07,3.61,18.68,5.26,0.539,0.048,1.67,0.89,875,53,0.008,0.096,None,Pass
SPL-2026-0451,B-250608-7,Wafer Vanilla,2025-06-08,2.82,22.73,5.26,0.489,0.036,0.72,0.74,15791,369,0.031,0.123,None,Pass
SPL-2026-0820,B-250609-6,Wafer Vanilla,2025-06-09,1.62,14.65,9.66,0.383,0.08,0.45,0.81,403,252,0.387,0.09,None,Pass
SPL-2026-0907,B-250609-5,Sandwich Biscuit,2025-06-09,4.72,19.57,5.62,0.676,0.06,1.27,0.98,1720,948,0.199,0.003,None,Pass
SPL-2026-0862,B-250609-8,Wafer Vanilla,2025-06-09,4.86,18.35,,0.678,0.034,1.81,0.84,644,256,0.003,0.121,Physicochemical,Fail
SPL-2026-0646,B-250609-1,Sandwich Biscuit,2025-06-09,3.09,20.72,5.19,,0.002,1.26,1.4,2883,770,0.188,0.095,None,Pass
SPL-2026-0239,B-250610-4,Sandwich Biscuit,2025-06-10,1.86,14.28,8.23,0.429,0.002,1.49,1.52,4209,4738,0.028,0.203,Heavy_Metal,Fail
SPL-2026-0581,B-250610-4,Butter Biscuit,2025-06-10,4.52,18.32,6.51,0.695,0.027,1.64,1.43,29537,43,0.115,,None,Pass
SPL-2026-0338,B-250610-7,Sandwich Biscuit,2025-06-10,3.45,14.31,7.85,0.553,0.092,0.1,0.97,1206,401,0.11,0.045,None,Pass
SPL-2026-0400,B-250611-6,Sandwich Biscuit,2025-06-11,2.2,19.38,6.14,0.422,0.006,1.01,0.62,3217,3187,0.308,0.081,None,Pass
SPL-2026-0403,B-250611-6,Sandwich Biscuit,2025-06-11,5.01,13.86,7.57,0.678,0.073,1.0,0.87,2688,206,0.129,,Physicochemical,Fail
SPL-2026-0316,B-250611-1,Cracker Filled,2025-06-11,3.9,14.72,7.64,0.68,0.178,0.54,1.62,5846,453,0.1,0.004,Physicochemical,Fail
SPL-2026-0823,B-250612-2,Butter Biscuit,2025-06-12,4.7,,4.91,0.657,,1.05,0.97,3337,476,0.095,0.021,None,Pass
SPL-2026-0367,B-250612-3,Cracker Plain,2025-06-12,4.46,20.99,5.78,0.707,0.061,0.05,0.36,3430,1693,0.073,0.037,None,Pass
SPL-2026-0601,B-250612-7,Cracker Filled,2025-06-12,2.15,18.86,4.82,0.479,0.021,0.63,0.44,2314,1045,0.14,0.166,None,Pass
SPL-2026-0476,B-250613-4,Cookies Choco Chip,2025-06-13,5.2,18.73,5.43,0.636,0.17,0.61,0.58,4413,1915,0.211,0.01,Physicochemical,Fail
SPL-2026-0155,B-250614-6,Cracker Plain,2025-06-14,2.92,11.52,,0.457,,1.26,0.92,304,100,0.265,0.007,None,Pass
SPL-2026-0838,B-250614-8,Marie Biscuit,2025-06-14,2.85,15.69,6.43,0.505,0.048,1.0,0.82,3450,750,0.037,0.057,None,Pass
SPL-2026-0105,B-250615-7,Cookies Choco Chip,2025-06-15,2.66,22.83,,0.523,0.057,1.37,0.71,1677,540,0.303,0.056,None,Pass
SPL-2026-0391,B-250615-4,Cookies Choco Chip,2025-06-15,2.96,20.07,5.99,0.512,0.015,2.06,2.07,25577,1011,0.064,0.036,Stability,Fail
SPL-2026-0779,B-250616-4,Marie Biscuit,2025-06-16,2.7,17.72,5.32,0.52,0.066,0.84,0.97,3931,1356,0.027,0.042,None,Pass
SPL-2026-0186,B-250616-3,Cracker Plain,2025-06-16,3.65,12.83,5.16,,0.058,0.52,0.05,4064,645,0.063,0.065,None,Pass
SPL-2026-0060,B-250617-4,Cracker Filled,2025-06-17,1.67,20.3,3.72,,0.047,,0.44,49,414,0.308,0.046,Physicochemical,Fail
SPL-2026-0821,B-250618-5,Butter Biscuit,2025-06-18,4.84,22.93,4.06,0.737,0.02,0.8,0.81,38610,1912,0.14,0.057,Physicochemical,Fail
SPL-2026-0462,B-250618-2,Butter Biscuit,2025-06-18,,16.89,7.82,0.673,0.001,0.88,,549,158,0.411,0.023,None,Pass
SPL-2026-0034,B-250619-6,Cracker Plain,2025-06-19,2.53,18.85,4.95,0.455,,1.07,0.66,5410,923,0.061,0.173,None,Pass
SPL-2026-0014,B-250619-8,Cookies Choco Chip,2025-06-19,1.34,19.93,7.92,0.388,0.002,0.06,0.87,3784,389,0.149,0.247,Heavy_Metal,Fail
SPL-2026-0177,B-250620-1,Cookies Choco Chip,2025-06-20,1.83,17.08,,0.405,0.028,,1.29,53,68,0.218,0.152,Physicochemical,Fail
SPL-2026-0586,B-250621-5,Wafer Vanilla,2025-06-21,2.61,17.48,8.7,0.473,0.037,1.31,0.17,2612,302,0.149,0.024,None,Pass
SPL-2026-0604,B-250621-5,Butter Biscuit,2025-06-21,3.98,15.8,6.15,,0.022,1.85,1.62,4418,1070,0.258,0.091,None,Pass
SPL-2026-0576,B-250621-3,Sandwich Biscuit,2025-06-21,4.34,18.57,4.15,0.655,0.007,1.31,1.14,6344,1278,0.068,0.072,Physicochemical,Fail
SPL-2026-0435,B-250622-4,Cracker Plain,2025-06-22,3.33,20.2,5.13,0.53,0.001,0.55,0.48,1728,421,0.321,0.022,None,Pass
SPL-2026-0527,B-250622-4,Wafer Vanilla,2025-06-22,3.8,14.07,7.12,0.598,0.03,1.37,1.2,3561,557,0.052,,None,Pass
SPL-2026-0756,B-250622-7,Cracker Plain,2025-06-22,3.61,22.83,5.36,0.589,0.016,0.19,0.13,446,319,0.031,0.055,None,Pass
SPL-2026-0439,B-250622-7,Butter Biscuit,2025-06-22,3.15,15.77,6.99,0.508,0.002,0.17,1.22,16973,46,0.036,0.006,None,Pass
SPL-2026-0950,B-250623-5,Marie Biscuit,2025-06-23,3.06,12.06,7.31,,0.09,1.39,1.51,370,251,0.087,0.029,None,Pass
SPL-2026-0504,B-250624-1,Wafer Vanilla,2025-06-24,3.36,16.41,5.72,0.531,0.04,1.79,1.97,2285,1326,0.318,0.001,None,Pass
SPL-2026-0404,B-250624-5,Wafer Vanilla,2025-06-24,4.62,23.75,7.31,0.758,0.068,0.9,0.51,61696,361,0.021,0.011,None,Pass
SPL-2026-0249,B-250625-2,Cookies Choco Chip,2025-06-25,4.62,17.5,5.21,0.675,0.011,1.82,1.18,8603,574,0.187,0.179,None,Pass
SPL-2026-0388,B-250625-8,Cookies Choco Chip,2025-06-25,,27.59,7.51,0.455,0.061,0.05,0.05,1617,585,0.128,0.004,None,Pass
SPL-2026-0915,B-250627-4,Cracker Filled,2025-06-27,3.25,21.06,6.62,0.542,0.071,0.63,1.1,7859,4660,0.08,0.008,None,Pass
SPL-2026-0095,B-250627-2,Wafer Vanilla,2025-06-27,2.22,21.24,9.35,0.462,0.006,1.07,1.1,322,493,,0.005,None,Pass
SPL-2026-0514,B-250628-7,Cookies Choco Chip,2025-06-28,5.3,23.95,2.5,0.709,0.03,1.85,2.06,6200,323,0.006,0.081,Physicochemical,Fail
SPL-2026-0145,B-250628-3,Wafer Vanilla,2025-06-28,3.29,18.25,6.31,0.581,0.049,0.26,0.82,20518,443,0.489,0.011,None,Pass
SPL-2026-0777,B-250629-5,Sandwich Biscuit,2025-06-29,3.56,18.72,5.09,0.603,0.047,1.03,1.1,2019,1748,0.056,0.025,None,Pass
SPL-2026-0905,B-250629-6,Cracker Plain,2025-06-29,6.13,10.35,6.97,0.816,0.039,0.97,0.98,4508,6717,0.278,0.067,Physicochemical,Fail
SPL-2026-0494,B-250629-5,Cracker Filled,2025-06-29,2.95,16.57,3.58,0.44,0.026,0.87,,346,713,0.024,0.017,Physicochemical,Fail
